"","States","year","category","count","type"
"350","Rhode Island","2018","Total.violation.admissions",1476,"Admissions"
"351","South Carolina","2018","Total.admissions",7250,"Admissions"
"352","South Carolina","2018","Total.violation.admissions",1356,"Admissions"
"353","South Dakota","2018","Total.admissions",4284,"Admissions"
"354","South Dakota","2018","Total.violation.admissions",3057,"Admissions"
"355","Tennessee","2018","Total.admissions",11369,"Admissions"
"356","Tennessee","2018","Total.violation.admissions",4398,"Admissions"
"357","Texas","2018","Total.admissions",65710,"Admissions"
"358","Texas","2018","Total.violation.admissions",28500,"Admissions"
"359","Utah","2018","Total.admissions",3746,"Admissions"
"360","Utah","2018","Total.violation.admissions",2999,"Admissions"
"361","Virginia","2018","Total.admissions",12118,"Admissions"
"362","Virginia","2018","Total.violation.admissions",6208,"Admissions"
"363","Vermont","2018","Total.admissions",7774,"Admissions"
"364","Vermont","2018","Total.violation.admissions",763,"Admissions"
"365","Washington","2018","Total.admissions",8100,"Admissions"
"366","Washington","2018","Total.violation.admissions",3363,"Admissions"
"367","Wisconsin","2018","Total.admissions",9374,"Admissions"
"368","Wisconsin","2018","Total.violation.admissions",6556,"Admissions"
"369","West Virginia","2018","Total.admissions",3881,"Admissions"
"370","West Virginia","2018","Total.violation.admissions",1144,"Admissions"
"371","Wyoming","2018","Total.admissions",1084,"Admissions"
"372","Wyoming","2018","Total.violation.admissions",597,"Admissions"
"373","Alaska","2019","Total.admissions",34734,"Admissions"
"374","Alaska","2019","Total.violation.admissions",3891,"Admissions"
"375","Alabama","2019","Total.admissions",14148,"Admissions"
"376","Alabama","2019","Total.violation.admissions",6360,"Admissions"
"377","Arkansas","2019","Total.admissions",9289,"Admissions"
"378","Arkansas","2019","Total.violation.admissions",4980,"Admissions"
"379","Arizona","2019","Total.admissions",18159,"Admissions"
"380","Arizona","2019","Total.violation.admissions",7752,"Admissions"
"381","California","2019","Total.admissions",34508,"Admissions"
"382","California","2019","Total.violation.admissions",12133,"Admissions"
"383","Colorado","2019","Total.admissions",9691,"Admissions"
"384","Colorado","2019","Total.violation.admissions",3441,"Admissions"
"385","Connecticut","2019","Total.admissions",19535,"Admissions"
"386","Connecticut","2019","Total.violation.admissions",1895,"Admissions"
"387","Delaware","2019","Total.admissions",11573,"Admissions"
"388","Delaware","2019","Total.violation.admissions",NA,"Admissions"
"389","Florida","2019","Total.admissions",31669,"Admissions"
"390","Florida","2019","Total.violation.admissions",11278,"Admissions"
"391","Georgia","2019","Total.admissions",18967,"Admissions"
"392","Georgia","2019","Total.violation.admissions",6278,"Admissions"
"393","Hawaii","2019","Total.admissions",8270,"Admissions"
"394","Hawaii","2019","Total.violation.admissions",2810,"Admissions"
"395","Iowa","2019","Total.admissions",6210,"Admissions"
"396","Iowa","2019","Total.violation.admissions",2673,"Admissions"
"397","Idaho","2019","Total.admissions",7323,"Admissions"
"398","Idaho","2019","Total.violation.admissions",5267,"Admissions"
"399","Illinois","2019","Total.admissions",22363,"Admissions"
"400","Illinois","2019","Total.violation.admissions",7963,"Admissions"
"401","Indiana","2019","Total.admissions",10942,"Admissions"
"402","Indiana","2019","Total.violation.admissions",5526,"Admissions"
"403","Kansas","2019","Total.admissions",6388,"Admissions"
"404","Kansas","2019","Total.violation.admissions",4314,"Admissions"
"405","Kentucky","2019","Total.admissions",19660,"Admissions"
"406","Kentucky","2019","Total.violation.admissions",11668,"Admissions"
"407","Louisiana","2019","Total.admissions",16226,"Admissions"
"408","Louisiana","2019","Total.violation.admissions",8146,"Admissions"
"409","Massachusetts","2019","Total.admissions",2201,"Admissions"
"410","Massachusetts","2019","Total.violation.admissions",265,"Admissions"
"411","Maryland","2019","Total.admissions",7392,"Admissions"
"412","Maryland","2019","Total.violation.admissions",1973,"Admissions"
"413","Maine","2019","Total.admissions",1102,"Admissions"
"414","Maine","2019","Total.violation.admissions",452,"Admissions"
"415","Michigan","2019","Total.admissions",8686,"Admissions"
"416","Michigan","2019","Total.violation.admissions",4344,"Admissions"
"417","Minnesota","2019","Total.admissions",7123,"Admissions"
"418","Minnesota","2019","Total.violation.admissions",4470,"Admissions"
"419","Missouri","2019","Total.admissions",15025,"Admissions"
"420","Missouri","2019","Total.violation.admissions",11507,"Admissions"
"421","Mississippi","2019","Total.admissions",8028,"Admissions"
"422","Mississippi","2019","Total.violation.admissions",3740,"Admissions"
"423","Montana","2019","Total.admissions",1439,"Admissions"
"424","Montana","2019","Total.violation.admissions",604,"Admissions"
"425","North Carolina","2019","Total.admissions",24222,"Admissions"
"426","North Carolina","2019","Total.violation.admissions",14314,"Admissions"
"427","North Dakota","2019","Total.admissions",1530,"Admissions"
"428","North Dakota","2019","Total.violation.admissions",703,"Admissions"
"429","Nebraska","2019","Total.admissions",2850,"Admissions"
"430","Nebraska","2019","Total.violation.admissions",671,"Admissions"
"431","New Hampshire","2019","Total.admissions",1319,"Admissions"
"432","New Hampshire","2019","Total.violation.admissions",858,"Admissions"
"433","New Jersey","2019","Total.admissions",7469,"Admissions"
"434","New Jersey","2019","Total.violation.admissions",647,"Admissions"
"435","New Mexico","2019","Total.admissions",NA,"Admissions"
"436","New Mexico","2019","Total.violation.admissions",NA,"Admissions"
"437","Nevada","2019","Total.admissions",5971,"Admissions"
"438","Nevada","2019","Total.violation.admissions",2515,"Admissions"
"439","New York","2019","Total.admissions",21533,"Admissions"
"440","New York","2019","Total.violation.admissions",11038,"Admissions"
"441","Ohio","2019","Total.admissions",NA,"Admissions"
"442","Ohio","2019","Total.violation.admissions",NA,"Admissions"
"443","Oklahoma","2019","Total.admissions",9384,"Admissions"
"444","Oklahoma","2019","Total.violation.admissions",1383,"Admissions"
"445","Oregon","2019","Total.admissions",9057,"Admissions"
"446","Oregon","2019","Total.violation.admissions",4033,"Admissions"
"447","Pennsylvania","2019","Total.admissions",18166,"Admissions"
"448","Pennsylvania","2019","Total.violation.admissions",8245,"Admissions"
"449","Rhode Island","2019","Total.admissions",3054,"Admissions"
"450","Rhode Island","2019","Total.violation.admissions",1172,"Admissions"
"451","South Carolina","2019","Total.admissions",7386,"Admissions"
"452","South Carolina","2019","Total.violation.admissions",1234,"Admissions"
"453","South Dakota","2019","Total.admissions",4465,"Admissions"
"454","South Dakota","2019","Total.violation.admissions",3343,"Admissions"
"455","Tennessee","2019","Total.admissions",11573,"Admissions"
"456","Tennessee","2019","Total.violation.admissions",4430,"Admissions"
"457","Texas","2019","Total.admissions",62621,"Admissions"
"458","Texas","2019","Total.violation.admissions",25618,"Admissions"
"459","Utah","2019","Total.admissions",4057,"Admissions"
"460","Utah","2019","Total.violation.admissions",3294,"Admissions"
"461","Virginia","2019","Total.admissions",NA,"Admissions"
"462","Virginia","2019","Total.violation.admissions",NA,"Admissions"
"463","Vermont","2019","Total.admissions",7681,"Admissions"
"464","Vermont","2019","Total.violation.admissions",703,"Admissions"
"465","Washington","2019","Total.admissions",7697,"Admissions"
"466","Washington","2019","Total.violation.admissions",3174,"Admissions"
"467","Wisconsin","2019","Total.admissions",9205,"Admissions"
"468","Wisconsin","2019","Total.violation.admissions",6331,"Admissions"
"469","West Virginia","2019","Total.admissions",3885,"Admissions"
"470","West Virginia","2019","Total.violation.admissions",1258,"Admissions"
"471","Wyoming","2019","Total.admissions",1116,"Admissions"
"472","Wyoming","2019","Total.violation.admissions",628,"Admissions"
"473","Alaska","2020","Total.admissions",27590,"Admissions"
"474","Alaska","2020","Total.violation.admissions",2779,"Admissions"
"475","Alabama","2020","Total.admissions",10080,"Admissions"
"476","Alabama","2020","Total.violation.admissions",4761,"Admissions"
"477","Arkansas","2020","Total.admissions",7770,"Admissions"
"478","Arkansas","2020","Total.violation.admissions",5126,"Admissions"
"479","Arizona","2020","Total.admissions",15480,"Admissions"
"480","Arizona","2020","Total.violation.admissions",6226,"Admissions"
"481","California","2020","Total.admissions",11574,"Admissions"
"482","California","2020","Total.violation.admissions",3879,"Admissions"
"483","Colorado","2020","Total.admissions",7982,"Admissions"
"484","Colorado","2020","Total.violation.admissions",2630,"Admissions"
"485","Connecticut","2020","Total.admissions",10699,"Admissions"
"486","Connecticut","2020","Total.violation.admissions",1011,"Admissions"
"487","Delaware","2020","Total.admissions",9937,"Admissions"
"488","Delaware","2020","Total.violation.admissions",NA,"Admissions"
"489","Florida","2020","Total.admissions",24085,"Admissions"
"490","Florida","2020","Total.violation.admissions",8018,"Admissions"
"491","Georgia","2020","Total.admissions",10290,"Admissions"
"492","Georgia","2020","Total.violation.admissions",4087,"Admissions"
"493","Idaho","2020","Total.admissions",5732,"Admissions"
"494","Idaho","2020","Total.violation.admissions",4095,"Admissions"
"495","Illinois","2020","Total.admissions",11635,"Admissions"
"496","Illinois","2020","Total.violation.admissions",4585,"Admissions"
"497","Kansas","2020","Total.admissions",4473,"Admissions"
"498","Kansas","2020","Total.violation.admissions",2831,"Admissions"
"499","Louisiana","2020","Total.admissions",9640,"Admissions"
"500","Louisiana","2020","Total.violation.admissions",4954,"Admissions"
