"","States","year","Total.admissions","Total.violation.admissions","Technical.violations.admissions","Total.admissions.pct","Total.violation.admissions.pct","Technical.violations.admissions.pct","Total.population","Total.violation.population","Technical.violations.population","Total.population.pct","Total.violation.population.pct","Technical.violations.population.pct"
"118","Texas","2018",65710,28500,12785,NA,NA,NA,145019,34296,NA,NA,NA,NA
"119","Texas","2019",62621,25618,10988,-4.70095875817989,-10.1122807017544,-14.0555338287055,142169,32818,NA,-1.96525972458781,-4.30954047119197,NA
"120","Texas","2020",37286,15667,6222,-40.4576739432459,-38.843781715981,-43.3745904623225,121119,25822,NA,-14.8063220533309,-21.3175696264245,NA
"121","Utah","2018",3746,2999,1731,NA,NA,NA,6695,3331,NA,NA,NA,NA
"122","Utah","2019",4057,3294,2132,8.30218900160171,9.83661220406802,23.1658001155401,5485,2661,NA,-18.0731889469753,-20.1140798558991,NA
"123","Utah","2020",2945,2486,1692,-27.4094158245009,-24.5294474802672,-20.6378986866792,5579,2652,NA,1.71376481312671,-0.338218714768879,NA
"124","Vermont","2018",7774,763,NA,NA,NA,NA,1296,119,NA,NA,NA,NA
"125","Vermont","2019",7681,703,NA,-1.19629534345254,-7.86369593709043,NA,1315,209,NA,1.46604938271604,75.6302521008403,NA
"126","Vermont","2020",6406,734,NA,-16.5994011196459,4.40967283072546,NA,1066,250,NA,-18.93536121673,19.6172248803828,NA
"127","Virginia","2018",12118,6208,1592,NA,NA,NA,29907,11239,1359,NA,NA,NA
"128","Virginia","2019",NA,NA,NA,NA,NA,NA,30144,12490,1311,0.792456615508086,11.1308835305632,-3.53200883002207
"129","Washington","2018",8100,3363,NA,NA,NA,NA,19636,7293,NA,NA,NA,NA
"130","Washington","2019",7697,3174,NA,-4.97530864197531,-5.6199821587868,NA,19261,7505,NA,-1.90975758810349,2.90689702454408,NA
"131","Washington","2020",4834,2120,NA,-37.196310250747,-33.2073093887839,NA,15726,5351,NA,-18.3531488500078,-28.7008660892738,NA
"132","West Virginia","2018",3881,1144,820,NA,NA,NA,6776,796,NA,NA,NA,NA
"133","West Virginia","2019",3885,1258,914,0.103066220046388,9.96503496503496,11.4634146341464,6800,904,NA,0.354191263282178,13.5678391959799,NA
"134","West Virginia","2020",3473,1570,1158,-10.6048906048906,24.8012718600954,26.6958424507659,6044,676,NA,-11.1176470588235,-25.2212389380531,NA
"135","Wisconsin","2018",9374,6556,4068,NA,NA,NA,23865,12374,5171,NA,NA,NA
"136","Wisconsin","2019",9205,6331,3959,-1.80285897162364,-3.43197071384991,-2.67944936086529,23778,12163,5125,-0.364550597108737,-1.70518829804429,-0.88957648423903
"137","Wisconsin","2020",5209,3771,2704,-43.4111895708854,-40.4359500868741,-31.6999242232887,20121,9933,4347,-15.3797628059551,-18.3342925265148,-15.1804878048781
"138","Wyoming","2018",1084,597,526,NA,NA,NA,2454,738,614,NA,NA,NA
"139","Wyoming","2019",1116,628,535,2.95202952029521,5.1926298157454,1.71102661596958,2543,774,674,3.62673186634066,4.87804878048781,9.77198697068404
"140","Wyoming","2020",878,489,396,-21.326164874552,-22.1337579617834,-25.981308411215,2364,681,585,-7.0389303971687,-12.015503875969,-13.2047477744807
